Strory,Label
آمنہ مفتی کا کالم: لاہور، موسم سرما اور ابن انشا,pakistan
کورونا: کراچی کے پانچ اضلاع میں سمارٹ لاک ڈاؤن، کیلیفورنیا میں رات کا کرفیو نافذ,pakistan
جسٹس وقار احمد سیٹھ: ’جرات مند، نڈر اور آزاد جج‘,pakistan
تحریک لبیک کے نئے سربراہ سعد رضوی کے بارے میں ہم کیا جانتے ہیں؟,pakistan
خادم رضوی کی نمازِ جنازہ میں ہزاروں کی شرکت، بیٹا جانشین مقرر,pakistan
پبلک پرائیوٹ پارٹنرشپ ماڈل، پاکستان کے لیے سود مند یا نقصان دہ؟,pakistan
پنجاب کے ضلع ننکانہ میں فائرنگ: ایک احمدی ڈاکٹر ہلاک، تین زخمی,pakistan
’ایسا مجبور کیا گیا کہ احتجاج کے لیے سینکڑوں میل دور آنا پڑا‘,pakistan
انٹرنیٹ نگرانی کے قواعد: ’حکومت کو ناقدین کے گرد گھیرا تنگ کرنےمیں آسانی ہو گی‘,pakistan
خادم حسین رضوی: ’اختلاف کے باوجود کبھی ان کے مرنے کی خواہش نہیں کی‘,pakistan
‘تکنیکی خرابی بھی انسانی غلطی کی وجہ سے پیدا ہو سکتی ہے‘,pakistan
’اسامہ بن لادن کے مکان سے پشتو اور انڈین گانے ملے‘,pakistan
مشال کیس: مرکزی ملزم کی سزائے موت عمر قید میں تبدیل,pakistan
عمران خان افغانستان میں، دو طرفہ تعلقات میں بہتری کیسے ممکن ہو سکتی ہے؟,pakistan
تحریک لبیک کے سربراہ خادم حسین رضوی وفات پا گئے,pakistan
تحریک لبیک پاکستان کے بانی خادم حسین رضوی کون تھے؟,pakistan
حافظ سعید کو ’کالعدم تنظیم کے لیے فنڈ اکھٹے کرنے‘ پر مزید سزا,pakistan
پاکستانی نژاد امریکی شہری جس کی سخاوت نے سب کے دل موہ لیے,pakistan
’مجھے کہا گیا کہ آپ اللہ اللہ کریں، وکالت میں کیا کر رہی ہیں‘,pakistan
امریکہ میں کورونا کے باعث ڈھائی لاکھ اموات، پاکستان میں بھی دوسری لہر زور پکڑنے لگی,pakistan
بے گھر امریکیوں کا پاکستانی مسیحا خود مشکل میں,pakistan
’آج میں کئی ڈگری ہولڈرز سے زیادہ کماتا ہوں!‘,pakistan
کیا عمران خان اپنے پہلے دورے میں افغانستان کے ساتھ بداعتمادی کی فضا کم کر سکیں گے؟,pakistan
چائلڈ پورنوگرافی: عدالت کا سہیل ایاز کو پھانسی کی سزا دینے کا حکم,pakistan
’ہماری آنکھوں کے سامنے بھائی کو اٹھایا گیا‘,pakistan
برفباری کی وجہ سے سیاحتی مقام پر پھنسے افراد کی واپسی کا کامیاب سفر,pakistan
مذاکرات کی رات تحریک لبیک اور حکومت کے درمیان معاملات کیسے طے پائے؟,pakistan
تشدد کے ملزم حقوقِ نسواں کے ’علمبردار‘ کیسے بن جاتے ہیں؟,pakistan
’جب تک مجھ میں آخری سانس ہے میں اُن کا انتظار کروں گی‘,pakistan
’ملا عمر ایرانی پاکستان میں پولیس سے فائرنگ کے تبادلے میں ہلاک‘,pakistan
انڈین طیارے کی پاکستان میں ہنگامی لینڈنگ,pakistan
’بہن نے ریپ پر مزاحمت کی تو پیٹرول چھڑک کر آگ لگا دی‘,pakistan
کراچی کنگز نے لاہور قلندرز کو پانچ وکٹوں سے شکست دے کر فائنل جیت لیا,pakistan
تحریک لبیک سے معاہدہ: کسی غیر ملکی سفیر کو کن وجوہات پر بے دخل کیا جا سکتا ہے؟,pakistan
’سینیٹ انتخابات میں ووٹنگ کا طریقہ کار بدلنے کے لیے آئینی ترمیم لائیں گے‘,pakistan
بختاور بھٹو کے ہونے والے منگیتر محمود چوہدری کون ہیں؟,pakistan
گلگت بلتستان انتخابات: کیا تحریک انصاف کو وہ کامیابی نہیں مل پائی جس کی توقع تھی؟,pakistan
’رمیز بھائی کی بہت عزت۔۔۔ مگر کسی کے کہنے پر کرکٹ نہیں چھوڑوں گا‘,pakistan
’یہ فلم ہم کئی بار دیکھ چکے ہیں، آگے بھی دیکھتے رہیں گے‘,pakistan
’مسئلہ میری بیوی میں نہیں مجھ میں ہے اور اب میں اپنا علاج کروا رہا ہوں‘,pakistan
سجاد باجوہ: ’وزیراعظم سمیت طاقتور عناصر شوگر مافیا کو بچانا، فائدہ دینا چاہتے تھے‘,pakistan
فیض آباد دھرنا ختم: حکومتی ’معاہدے‘ کے بعد ٹریفک اور موبائل سروس بحال,pakistan
’اگر میں بیٹیوں کا باپ نہ ہوتا تو شاید اتنا پراگریسیو نہ ہوتا‘,pakistan
یہ دھرنا بھی کیا دھرنا تھا؟,pakistan
مریم کا گلگت بلتستان انتخابات میں دھاندلی کا الزام، بلاول کی ’اسلام آباد جانے‘ کی دھمکی,pakistan
’دھندہ دشمن‘ حکومت,pakistan
تحریک لبیک کے کارکن فیض آباد تک پہنچنے میں کیسے کامیاب ہوئے؟,pakistan
عمران خان: ہم نے جلسے جلوسوں پر پابندی لگا دی ہے امید ہے باقی بھی یہی کریں گے,pakistan
’مجھے لگا کہ اتنی برفباری اور اندھیری رات میں شاید ہم بچ نہ پائیں‘,pakistan
’خاتون کو قتل کرنے کا حکم دینے والے جرگہ کے تین رکن گرفتار‘,pakistan
کراچی سے تعلق رکھنے والے القاعدہ برصغیر کے نائب سربراہ محمد حنیف کون تھے؟,pakistan
’مشکل وقت میں اگر ڈپلومہ نہ ہوتا تو مجھے نوکری نہ ملتی‘,pakistan
’لالہ آئی ایم سوری‘,pakistan
وسعت اللہ خان کا کالم: ’اب تو پیوند لگانے کی بھی گنجائش نہیں رہی‘,pakistan
آمنہ مفتی کا کالم: انکل نے یہاں بدتمیزی کی ہے!,pakistan
کیا محمد علی جناح نے اپنی اکلوتی بیٹی کو عاق کردیا تھا؟,pakistan
بلوچستان کی باہمت خاتون نے 350 کلومیٹر پیدل مارچ کیوں کیا؟,pakistan
انڈیا پاکستان میں دہشتگردی کروا رہا ہے، ہمارے پاس ناقابلِ تردید شواہد ہیں: پاکستان,pakistan
پاکستان میں نئی کمپنیوں کی رجسٹریشن میں اضافے کی وجوہات کیا ہیں؟,pakistan
’نئے مکان میں تین روز ہی گزرے تھے، فائرنگ میں سب کچھ تباہ ہو گیا‘,pakistan
’رانا صاحب پہنچ تو گئے ہیں، اتنی ہی جلدی واپس نہ جانا پڑے‘,pakistan
پاکستان میں مسلسل دوسرے روز دو ہزار سے زیادہ نئے مریض,pakistan
بی اماں، محمد علی کی ۔۔۔,pakistan
جسٹس وقار احمد سیٹھ ’جن کا دل بہت بڑا اور بے خوف رہتا تھا`,pakistan
انڈیا اور پاکستان کا ایک دوسرے پر لائن آف کنٹرول پر سیز فائر کی خلاف ورزی کا الزام,pakistan
کشمور میں ماں اور کمسن بیٹی کے ریپ کا ملزم ’فائرنگ کے تبادلے میں ہلاک‘,pakistan
عاصم باجوہ آج بھی بہت کارآمد ثابت ہو رہے ہیں: اسد عمر,pakistan
’پہلے کہتے ہیں یہ تو بس روتی رہتی ہیں، جب رلاتی ہوں تو برداشت نہیں ہوتا‘,pakistan
پرچم اتارنے کے جرم میں گرفتار برطانوی شہری کی حراست پر بورس جانسن کے تحفظات,pakistan
حسن ناصر: قلعہ لاہور کا کمیونسٹ قیدی جس کی لاش کبھی نہ ملی,pakistan
وائرل ویڈیو میں چار سالہ بچی کو ’سنا تو میں کانپنے اور رونے لگی ‘,pakistan
انتہائی مطلوب افراد کی فہرست میں شامل الطاف حسین کو گرفتار کرنے کی ہدایت,pakistan
تھر کی ’پبلک پراپرٹی‘ سوجیو بیل کی مبینہ چوری اور پرتپاک استقبال,pakistan
فوج سے بات ہو سکتی ہے لیکن عوام کے سامنے، چھپ چھپا کر نہیں: مریم نواز,pakistan
’دو گھنٹے کے سکول سے زیادہ مجھے اپنے بچے کی جان عزیز ہے‘,pakistan
جہاں عورت کے ووٹ ڈالنے پر چار قتل ہوئے، وہاں سعدیہ نے الیکشن لڑنے کی جرات کیسے کی؟,pakistan
سپریم کورٹ: جیلوں میں خواتین قیدیوں کو بہتر سہولیات کی فراہمی کا حکم,pakistan
ڈالر کے مقابلے میں روپے کی قدر میں مسلسل بہتری کی وجوہات کیا ہیں؟,pakistan
کیا ایک ویڈیو پاکستان میں خواتین کو ہراساں کیے جانے کی حقیقت کو کم کر سکتی ہے؟,pakistan
جذباتی قوم کے جذباتی افسر,pakistan
پاکستانی کرکٹ ٹیم میں شامل ہونے والے نئے چہرے کون ہیں,pakistan
ماں اور کمسن بیٹی کا مبینہ ’ریپ‘، ملزم ریمانڈ پر پولیس کے حوالے,pakistan
احسن اقبال کا ٹویٹ پوسٹ کرنے پر امریکی سفارتخانے کی معافی,pakistan
کورونا وائرس: کیا پاکستانی حکومت سینما گھروں، تھیٹرز اور مزاروں کو بند کرنے لگی ہے,pakistan
’یقین نہیں کہ الرٹ کا بٹن دبانے پر بھی پولیس مدد کو پہنچے گی‘,pakistan
46 برس قبل ہونے والا ایک قتل جو ذوالفقار علی بھٹو کی پھانسی کی وجہ بنا,pakistan
جب ایک شہزادہ عام سی لڑکی کے لیے بارات لے کر پاکستان آیا,pakistan
پاکستان کی کپتانی کا میوزیکل چیئر گیم اور بابر اعظم کا ستارہ,pakistan
20 کروڑ میں شادی یا 20 ہزار میں: آپ شادی پر کتنا خرچ کرنا چاہیں گے؟,pakistan
شمالی علاقوں کے افراد سیاحوں کو کرائے پر کمرے کیسے دے سکیں گے؟,pakistan
’رپورٹ ریجیکٹڈ‘: نواز شریف نے آئی جی سے ’بدسلوکی‘ پر فوج کی رپورٹ مسترد کر دی,pakistan
’رینجرز اور آئی ایس آئی کے افسران نے زیادہ ہی جوش کا مظاہرہ کیا‘,pakistan
برطانیہ ’کورونا ویکسین کی فراہمی کے لیے تیار‘، پاکستان کے نئی ویکسین پر تحفظات,pakistan
وہ ملاقات جس نے سونیا حسین کو ’سراب‘ میں کام کرنے پر آمادہ کیا,pakistan
اے این پی پر حملوں سے متعلق بیان پر اعجاز شاہ نے معافی مانگ لی,pakistan
گلگت بلتستان میں تیر چلے گا، شیر دھاڑے گا یا بلا سب پر بھاری ہوگا؟,pakistan
نئے میثاق کا ایک اور صفحہ: عاصمہ شیرازی کا کالم,pakistan
’میں بے باک لڑکی ہوں لیکن اس لمحے میرا سانس رُک گیا‘,pakistan
دولہا دلہن پریشان: کسی کے جوڑے تیار، کسی کو بکنگ کرانے سے پہلے آخری لمحے پتہ چل گیا,pakistan
سلیکٹر ایسا کیوں کرتے ہیں؟ کرکٹرز جن کا فیصلہ نہیں ہو سکا وہ فلاپ تھے یا زبردست,pakistan
خلا سے گِرنے والا پتھر جو 18 لاکھ ڈالر میں فروخت نہ ہوسکا,world
مائیک ٹائسن: پرس چھیننے سے حریف باکسر کا کان چبانے تک,world
امریکی صدر جان کینیڈی کو کس نے مارا؟ بحث آج بھی جاری,world
کورونا: کراچی کے پانچ اضلاع میں سمارٹ لاک ڈاؤن، کیلیفورنیا میں رات کا کرفیو نافذ,world
امریکی صدارتی انتخاب: کیا ڈونلڈ ٹرمپ نتائج کو الٹ سکتے ہیں؟,world
نرس اریما نسرین کی یاد میں سکالرشپ کا آغاز,world
جی 20: سعودی عرب کے معاملے میں انسانی حقوق کے مسائل کو بھلایا نہیں جا سکتا,world
فرانس: مسلم رہنماؤں کو ’جمہوری اقدار‘ کی حمایت کے لیے 15 دن کی مہلت,world
امریکہ میں پہلی مسلم خاتون میئر جن کی ’کراچی سے خاص دلی وابستگی‘,world
نیروبی کی بلیک مارکیٹ جہاں بچوں کو 300 پاؤنڈ میں بیچا جا رہا ہے,world
احتیاط ورنہ آنکھیں نکال لیں گے: چین کی دھمکی,world
انڈونیشیا: پلاسٹک کی بوتلوں سے نایاب طوطے برآمد,world
برطانیہ کی نئی ’نیشنل سائبر فورس‘ کا کیا کام ہے؟,world
انقرہ، ریاض میں کشیدگی سے مشرقِ وسطیٰ، شمالی افریقہ میں ترک تجارت کو خطرہ,world
جب مظاہرین نے پولیس ہیڈکوارٹر کو رنگ میں نہلا دیا,world
خانہ کعبہ کا محاصرہ: 41 سال پہلے کیا ہوا تھا؟,world
پاکستانی نژاد امریکی شہری جس کی سخاوت نے سب کے دل موہ لیے,world
امریکہ میں کورونا کے باعث ڈھائی لاکھ اموات، پاکستان میں بھی دوسری لہر زور پکڑنے لگی,world
بے گھر امریکیوں کا پاکستانی مسیحا خود مشکل میں,world
1000 گول کرنے والا فٹبالر جسے لیاری والے دیوتا مانتے ہیں,world
برطانیہ: 2030 سے پیٹرول اور ڈیزل والی نئی گاڑیوں پر پابندی ہو گی,world
ٹرمپ کے جانے کے بعد بائیڈن ایران پالیسی میں کیا تبدیلیاں لاسکتے ہیں؟,world
مذاکرات کی رات تحریک لبیک اور حکومت کے درمیان معاملات کیسے طے پائے؟,world
خاتون جنھوں نے نیوزی لینڈ پولیس میں حجاب متعارف کرانے میں مدد کی,world
امریکہ کے خفیہ ادارے اضطراب کا شکار کیوں ہیں؟,world
کام پر مسلمان خاتون سے ملنے کے بعد ’مسلمانوں سے متعلق کئی غلط فہمیاں دور ہوئیں‘,world
جنسی استحصال کے الزامات کے بعد لارڈ نذیر برطانوی پارلیمان سے ریٹائر,world
کملا ہیرس سے متعلق نفرت انگیز مواد شائع ہونے پر فیس بک کے نظام پر پھر سے سوال,world
خاتون جس نے دو انسانی سروں کو بیگ میں ڈال کر طیارے میں سفر کیا,world
تحریک لبیک سے معاہدہ: کسی غیر ملکی سفیر کو کن وجوہات پر بے دخل کیا جا سکتا ہے؟,world
یورپ کا جان لیوا سفر اور کرد خاندان کی ہلاکت کی غمزدہ کر دینے والی کہانی,world
دنیا کے سب سے بڑے تجارتی اتحاد آر سی ای پی میں ایسی خاص بات کیا ہے؟,world
شمالی کوریا لوگوں کو سگریٹ نوشی ترک کروانے کے لیے کیا کر رہا ہے؟,world
ہر دس میں سے چار افراد اپنی فیملی سے مالی معاملات چھپاتے ہیں,world
کورونا وائرس ویکسین پر تحقیق: شمالی کوریا اور روس کے ہیکرز کے سائبر حملے,world
مشیگن کے وہ ’مردہ ووٹرز’ جو ابھی بھی زندہ ہیں,world
القاعدہ کے رہنما کی تہران میں ہلاکت پر ایران کی تردید,world
پاکستان میں مسلسل دوسرے روز دو ہزار سے زیادہ نئے مریض,world
ریکوڈک: حکم امتناع کی شرائط پوری نہ کرنے پر پاکستان کو تین ارب ڈالر جرمانے کا سامنا,world
بالآخر چین کی جو بائیڈن کو مبارکباد، روس کی طرف سے خاموشی,world
امریکی صدارتی انتخاب کا ڈراپ سین کب ہو گا؟,world
قرآن نذرآتش کرنے کا منصوبہ بنانے والے پانچ افراد بیلجیئم سے بےدخل,world
یہ سونے کا کتا آپ کو صرف ترکمانستان میں نظر آئے گا,world
زوم میٹنگ کے دوران برہنہ ہونے والا صحافی ملازمت سے برخاست,world
ٹرمپ کابینہ میں اکثریت سفید فام مرد تھے، بائیڈن کابینہ کیسی ہو گی؟,world
امریکی الیکشن: بائیڈن کی جیت، خلیجی ممالک کو نئی حقیقت کا سامنا,world
جسم فروشی: ایک ’روحانی‘ حلف ہے جو عورتوں کو اپنے سمگلروں کے نام لینے سے روکتا ہے,world
’ایران کے پاس مقررہ حد سے 12 گنا زیادہ افزودہ یورینیم موجود ہے‘,world
’گلاب کی روح‘ دو کروڑ 66 لاکھ ڈالر میں نیلام,world
سٹیسی ابرامز: جو بائیڈن کی فتح میں کلیدی کردار ادا کرنے والی سیاہ فام خاتون,world
لاکھوں آبی نیولوں کو تلف کرنے کے حکم نے ڈنمارک کو دہلا دیا,world
وائٹ ہاؤس سے رخصتی کے بعد صدر ٹرمپ مستقبل میں کیا کیا کر سکتے ہیں؟,world
جدہ میں پہلی عالمی جنگ کی یادگاری تقریب میں ’بم دھماکہ‘، چار غیر ملکی زخمی,world
فلسطین کے دو ریاستی حل کے حامی رہنما صائب عریقات کون تھے؟,world
احسن اقبال کا ٹویٹ پوسٹ کرنے پر امریکی سفارتخانے کی معافی,world
وہ رات جب انڈیا کے امیر ترین شخص نے آئی پی ایل پھر سے جیت لی,world
جو بائیڈن: ٹرمپ کا شکست تسلیم نہ کرنا ’شرمندگی‘ کا باعث ہے,world
کورونا نیوٹن: اگر کسی کا نام ہی کورونا ہو تو وہ کیا کرے,world
ٹرمپ نے وائٹ ہاؤس چھوڑنے سے انکار کر دیا تو کیا ہو گا؟,world
برطانیہ ’کورونا ویکسین کی فراہمی کے لیے تیار‘، پاکستان کے نئی ویکسین پر تحفظات,world
کورونا نیوٹن: اگر کسی کا نام ہی کورونا ہو تو وہ کیا کرے,world
ٹرمپ نے وائٹ ہاؤس چھوڑنے سے انکار کر دیا تو کیا ہو گا؟,world
برطانیہ ’کورونا ویکسین کی فراہمی کے لیے تیار‘، پاکستان کے نئی ویکسین پر تحفظات,world
آذربائیجان، آرمینیا امن معاہدے پر کہیں جشن، کہیں مظاہرے,world
ٹرمپ کا استثنیٰ ختم ہونے کو، مقدمات کی تلوار سر پر,world
روس کے تعاون سے آذربائیجان اور آرمینیا کے درمیان امن معاہدہ,world
جو بائیڈن صدر کا عہدہ سنبھالنے کے بعد سب سے پہلے کیا کریں گے؟,world
صدر ٹرمپ کے ساتھ گزرا وہ دن جب وہ انتخاب ہارے,world
شمالی کوریا کے ’سرکاری ہوٹل‘ اندر سے کیسے لگتے ہیں؟,world
لیون شوٹنگ: پادری پر حملہ معاشقے کی وجہ سے ہوا,world
وہ پانچ وجوہات جو بائیڈن کی فتح کا سبب بنیں,world
بائیڈن کی جیت کا دنیا کے باقی ممالک پر کیا اثر پڑے گا؟,world
کاہلوں اور لفنگوں کا یورپی شہر,world
ایسا صدر بنوں گا جو لوگوں کو تقسیم کرنے کے بجائے انھیں متحد کرے: جو بائیڈن,world
بائیڈن امریکہ کے 46ویں صدر منتخب، اب آگے کیا ہو گا؟,world
امریکہ کی پہلی خاتون اور غیر سفیدفام نائب صدر منتخب ہونے والی کملا ہیرس کون ہیں؟,world
اہم امور پر نومنتخب امریکی صدر کا کیا مؤقف ہے؟,world
جو بائیڈن: وہ سیاستدان جنھیں قسمت کبھی عام سا نہیں رہنے دیتی,world
کورونا وائرس: انڈیا میں ہوا بازی کی صنعت کتنی متاثر ہوئی ہے؟,world
’انھوں نے میرے آباؤ اجداد کو چڑیل کہہ کر مار دیا‘,world
سوشل میڈیا پر غلط بیانی: ’فیک نیوز‘ کے خلاف ایکشن صرف صدر ٹرمپ اور امریکی انتخاب پر کیوں؟,world
امریکی عوام نتائج کا طویل انتظار کیسے برداشت کر رہے ہیں؟,world
’جو بائیڈن نے پانچ مرتبہ شادی کی پیشکش کی تو حامی بھری‘,world
امریکی سینیٹ: نتائج کے لیے جنوری تک کیوں انتظار کرنا پڑ سکتا ہے؟,world
امریکی حکام نے ایک ارب ڈالر کے بِٹ کوائنز ضبط کر لیے,world
جسٹن ٹروڈو کا میکخواں سے رابطہ، فرانسیسیوں سے اظہار یکجہتی,world
امریکی صدارتی انتخاب: ہم نتائج کے کتنے قریب ہیں؟,world
43 منزلہ مینار والی افریقہ کی ’سب سے بڑی مسجد‘ کا افتتاح,world
امریکی صدارتی انتخاب 2020: کیا نئے صدر کا تعین عدالتیں کریں گی؟,world
1965 کے بعد کانگریس کے سب سے کم عمر رکن کون ہیں؟,world
کیا اسرائیل سے امن معاہدے مشرق وسطیٰ میں ہتھیاروں کی دوڑ تیز کر دیں گے؟,world
’ٹرمپ جانی آپ نے سب سے پہلے تو گھبرانا نہیں ہے‘,world
سعودی عرب: ’غیر ملکی ملازمین بلااجازت ملازمت تبدیل کر سکیں گے‘,world
ٹرمپ یا بائیڈن: صدارتی انتخاب جیتنے میں کس کے کتنے امکانات ہیں؟,world
امریکہ میں پہلی بار ٹرانس جینڈر کو سینیٹ کی نشست پر کامیابی,world
کسی کو واضح برتری حاصل نہ ہوئی تو؟ نتائج سے متعلق چند سوالات کے جواب,world
ایف بی آئی لاکھوں امریکی ووٹرز کو موصول ہونے والی مشکوک کالز کی تفتیش کرے گی,world
امریکی صدارتی انتخاب 2020: ووٹنگ ختم، گنتی کا عمل جاری,world
امریکی صدارتی انتخاب: اب تک کوئی فیصلہ کیوں نہیں ہو سکا؟,world
امریکی صدارتی انتخاب کے نتائج کا انتظار کرتے ہوئے کن چیزوں پر نظر رکھیں؟,world
مائیک ٹائسن: پرس چھیننے سے حریف باکسر کا کان چبانے تک,khel
کرکٹ کے پہلے سپر سٹار اور جدید بیٹنگ کے تخلیق کار جنھیں آؤٹ ہونا سخت ناپسند تھا,khel
1000 گول کرنے والا فٹبالر جسے لیاری والے دیوتا مانتے ہیں,khel
مگر قلندرز پھر سے ’قلندر‘ بن گئے,khel
انگلش ٹیم ’اکتوبر 2021 میں پاکستان کا دورہ کرے گی‘,khel
کراچی کنگز نے لاہور قلندرز کو پانچ وکٹوں سے شکست دے کر فائنل جیت لیا,khel
’رمیز بھائی کی بہت عزت۔۔۔ مگر کسی کے کہنے پر کرکٹ نہیں چھوڑوں گا‘,khel
فواد رانا: میں لاہوری ہوں سب کو میرے موڈ کا پتا ہے,khel
’کراچی جیتے یا لاہور، نمبر ون ہے کوئی اور‘,khel
کیا ڈیرن سیمی کی دل گرفتگی زلمی کو لے ڈوبی؟,khel
’رانا صاحب پہنچ تو گئے ہیں، اتنی ہی جلدی واپس نہ جانا پڑے‘,khel
پاکستان سپر لیگ کے آخری مرحلے کے لیے تیاریاں مکمل,khel
پاکستانی کرکٹ ٹیم میں شامل ہونے والے نئے چہرے کون ہیں,khel
وہ رات جب انڈیا کے امیر ترین شخص نے آئی پی ایل پھر سے جیت لی,khel
پاکستان کی کپتانی کا میوزیکل چیئر گیم اور بابر اعظم کا ستارہ,khel
پاکستان بمقابلہ زمبابوے: پاکستان نے دوسرا ٹی 20 میچ بھی جیت لیا,khel
عثمان قادر، وہ وعدہ جو وفا ہوا,khel
پاکستان بمقابلہ زمبابوے: ’اب کپتان چامو چبھابھا پھیکے نہ پڑیں تو اور کیا کریں‘,khel
گول کرنے کا کوئی موقع ضائع نہ کرنے والے رشید جونیئر وفات پا گئے,khel
خوش بختی سے خجالت تک، چار ہی گیندوں میں,khel
زمبابوے کی قسمت کب کھلے گی؟,khel
پاکستانی امپائر علیم ڈار کا ایک اور عالمی ریکارڈ,khel
ٹیلر کی کہانی کا ’اینٹی کلائمیکس‘,khel
پاکستانی بلے بازوں کے رن آؤٹ پر مایوسی بھی، مزاح بھی,khel
گلی محلے کی کرکٹ کی پُرانی چالاکی یورپی لیگ میں بھی کام آ گئی!,khel
لکھنؤ ٹیسٹ میں پاکستان کی فتح، اندرا گاندھی کا طنزیہ جملہ اور بیگم اختر کی گائیکی,khel
’ناقابلِ تسخیر‘ حبیب نورمحمدوف ریٹائر، رونالڈو، مکگریگر کا خراجِ تحسین,khel
کرکٹر ناصر جمشید نے برطانیہ بدری کے خلاف اپیل دائر کر دی,khel
بمرا، آرچر کو شعیب اختر سے ’زیادہ تیز رفتار‘ کہنے پر سوشل میڈیا صارفین برہم کیوں؟,khel
دنیائے فٹبال کے شہنشاہ ’پیلے‘ جنھیں برازیل نے ’قومی خزانہ‘ قرار دیا,khel
نادیہ سیفائر: جنسی ہراس کا سامنا کرنے والی برطانوی خاتون ریسلر,khel
49 سال قبل جب پاکستان ہاکی کا عالمی چیمپیئن بنا,khel
زمبابوے کے خلاف سکواڈ میں شعیب ملک، سرفراز جگہ نہ بنا سکے,khel
عمر گل کی ریٹائرمنٹ: ’یارکر کنگ جس نے کبھی مایوس نہیں کیا‘,khel
قومی ٹی ٹوئنٹی مقابلے میں ’بک میکر کا کھلاڑی سے رابطہ‘,khel
اعظم خان: والد کی طرح بولرز کے ساتھ بے رحمانہ سلوک,khel
’یہ وزیراعظم کے ساتھ ملاقات کی سزا نہیں بلکہ ایک پیشہ ورانہ فیصلہ ہے‘,khel
قومی ٹی ٹوئنٹی ٹیم میں اوپنر کی جگہ پانے کے لیے کھلاڑیوں میں سخت مقابلہ,khel
رافیل نڈال نے 13ویں مرتبہ فرنچ اوپن ٹائٹل اپنے نام کر لیا,khel
’کوہلی کی اننگز پر اب سب انوشکا کا شکریہ ادا کریں‘,khel
جب ضیا الحق نے بھولو برادران کے انڈیا جانے پر پابندی عائد کر دی,khel
کیا سرفراز احمد اپنے کریئر کے اہم موڑ پر کھڑے ہیں؟,khel
پاکستان کی تیز ترین ٹی ٹوئنٹی سنچری بنانے والے خوشدل شاہ,khel
سہیل عباس کا وہ تاریخی گول جب گیند نہ کیپر کو نظر آئی نہ امپائر کو,khel
’مشکلات میں گھری‘ بہنیں جو سکواش کورٹ میں جھنڈے گاڑ رہی ہیں,khel
شاہین شاہ آفریدی اور پانچ وکٹیں لینے کی پرانی عادت,khel
’اس اننگز کی قیمت ہمیں مستقبل کے بہت سے میچز میں ادا کرنا پڑی‘,khel
شاہد آفریدی کی ریکارڈ سنچری، خواب جو چند گھنٹوں بعد حقیقت بن گیا,khel
عبداللہ شفیق: ’دو وکٹیں جلد گرنے پر بیٹنگ کے لیے آیا تو بہت نروس تھا‘,khel
اسرائیلی شہری کی پاکستانی کرکٹرز سے والہانہ محبت کی داستان,khel
سعودی عرب: پہلی بار خواتین کے کھیلوں کے بین الاقوامی ٹورنامنٹ,khel
